1911	1	26	CHINA:  HEBEI PROVINCE	39.800	114.500		5.5	7	
1911	2	18	TAJIKISTAN:  USOY, BARCHIDIV, POSOR, NISUR	38.200	72.800	26	7.4		90
1911	2	18	GREECE-ALBANIA	41.100	20.700		6.7	10	
1911	4	18	IRAN:  RAVAR	31.230	57.030	50	6.7		700
1911	5	4	RUSSIA:  NEAR KAMCHATKA	51.800	156.000	240	7.6	7	
1911	5	14	CHINA:  GUANGDONG PROVINCE	23.000	115.300		5.5	7	
1911	6	7	MEXICO:  MICHOACAN	17.500	-102.500	11	7.9		45
1911	6	15	JAPAN:  RYUKYU ISLANDS	28.000	130.000	160	8.0		12
1911	7	4	AFGHANISTAN:  HINDU KUSH	36.000	70.500	190	7.6		
1911	7	12	PHILIPPINES:  MINDANAO:  TALACOGON,DAVAO,BUTUAN	9.000	126.000	50	7.8	10	
1911	7	24	FRANCE:  NAY,BENEJACQ,ARAMITS,ARROS,GAN,BOSDARROS	43.200	.200		5.0	7	
1911	8	16	MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	7.000	137.000	17	7.7		
1911	9	15	CHILE:  NORTHERN	-20.000	-72.000		7.3		
1911	9	22	ALASKA:  PRINCE WILLIAM SOUND	60.500	-149.000	60	6.9	8	
1911	12	16	MEXICO:  NEAR COAST OF GUERRERO	17.000	-100.700	50	7.6	4	
1912	1	24	GREECE:  ASPROGERAKAS (KEPHALLENIA)	38.000	20.500	60	7.0	10	
1912	5	6	ICELAND	64.000	-20.000	60	7.5	11	
1912	5	23	MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO	21.000	97.000	25	8.0	9	
1912	6	8	SANRIKU, JAPAN	40.500	142.000	100	6.6		
1912	7	24	PERU:  HUANCABAMBA,CAJAMARCA; ECUADOR:  GUAYAQUIL	-5.620	-80.413	30	7.0	10	
1912	8	9	TURKEY:  MARMARA SEA	40.500	27.200	60	7.8		3000
1912	9	29	MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	7.000	138.000	50	7.5		
1912	10	31	MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	7.000	138.000	33	6.9	3	
1912	11	7	ALASKA:  ALASKA PENINSULA	57.500	-155.000	90	7.5	5	
1912	11	19	MEXICO:  CENTRAL, ACAMBAY, TIXMADEJE	19.900	-99.800		7.8		
1912	12	7	ARGENTINA:   SANTIAGO DEL ESTERO PROVINCE	-29.000	-62.500	620	7.5		
1913	1	19	RUSSIA:  KURIL ISLANDS	46.000	152.000	120	7.5		
1913	2	22	TASMAN SEA	-41.800	171.500	33	6.8	8	
1913	2	24	ECUADOR:  GONZANAMA, SAN PEDRO, MOLLETURE	-3.400	-79.600	50	7.7	7	
1913	3	14	INDONESIA:  SANGIHE ISLAND	5.354	126.121	15	7.8	9	138
1913	3	24	IRAN:  TEYHAN	26.800	53.700		5.8		11
1913	4	25	PHILIPPINES	9.500	127.800	60	7.7		
1913	5	30	PAPUA NEW GUINEA:  SOLOMON ISLANDS	-5.000	154.000	60	7.5		
1913	6	14	BULGARIA:  TIRNOVO	43.500	25.500		6.8	11	
1913	6	26	TONGA ISLANDS	-20.000	-174.000	33	7.6		
1913	7	28	PERU:  AREQUIPA	-16.600	-73.300	30	7.0	9	
1913	8	1	RUSSIA:  KURIL ISLANDS	47.500	155.500	60	7.7		
1913	8	6	PERU:  CARAVELI, CHUQUIBAMBA, OCONA, ATICO	-17.000	-74.000	33	7.9	10	
1913	8		CHINA:  SICHUAN PROVINCE	28.400	102.300		6.0	8	
1913	10	11	PAPUA NEW GUINEA	-7.000	148.000	33	7.0		
1913	10	14	VANUATU ISLANDS	-19.500	169.000	230	8.1		
1913	11	4	PERU:  AMYARAES, ABANCAY, CASAYA, SORAYA	-14.200	-72.900	10	6.3	10	150
1913	11	10	VANUATU ISLANDS	-18.000	169.000	80	7.5		
1913	12	21	CHINA:  YUNNAN PROVINCE	24.150	102.450	10	7.0	9	942
1914	1	12	JAPAN:  SAKURIJIMA	31.580	130.670		7.1		29
1914	1	30	CHILE:  OFF CENTRAL COAST	-35.000	-73.000	33	7.6		
1914	2	26	PERU:  AREQUIPA	-17.000	-72.000	130	7.2		
1914	3	15	JAPAN:  SENHOKU	39.200	139.800	33	7.2		94
1914	3	30	MEXICO:  CHIAPAS	16.800	-92.200	150	7.5		
1914	5	26	INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN	-1.829	136.943	15	8.1	9	
1914	5	28	TURKEY:  GEMEREK	39.200	36.000		5.6	7	
1914	5	31	ECUADOR:  MONTE PULLERINA	-.200	-78.200	10	5.8	10	
1914	6	25	INDONESIA:  SUMATERA	-3.924	101.820	35	7.6		20
1914	8	4	CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG)	43.500	91.500		7.5	8	1
1914	10	3	TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA	37.820	30.270		7.0	9	4000
1914	10	17	GREECE:  THEBES	38.250	23.250		6.0	10	
1914	10	23	MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	6.000	132.500	60	7.6		
1914	11	24	JAPAN:  VOLCANO ISLANDS	22.000	143.000	110	8.1		
1914	11	27	GREECE:  LEUKAS ISLAND	38.800	20.600	30	6.3	9	14
1915	1	13	ITALY:  MARSICA, AVEZZANO, ABRUZZI	42.000	13.500	10	7.5	11	29978
1915	2	28	JAPAN:  SW RYUKYU ISLANDS	23.600	123.500	60	7.7		
1915	5	1	RUSSIA:  KURIL ISLANDS	47.000	155.000	25	8.1		
1915	6	6	PERU:  S	-18.500	-68.500	160	7.6		
1915	6	23	CALIFORNIA:  EL CENTRO	32.800	-115.500		6.2		6
1915	7	31	RUSSIA:  OFF KAMCHATKA	53.500	163.300	20	7.3	10	
1915	8	7	GREECE:  KEFALLONIA ISLAND, ITHACA ISLAND	38.500	20.700	14	6.7	9	
1915	9	7	GUATEMALA	14.000	-89.000	80	7.9		
1915	10	3	NEVADA:  PLEASANT VALLEY	40.500	-117.500		7.6	10	
1915	11	1	JAPAN:  NEAR E COAST HONSHU	38.300	142.900	60	7.8		
1915	11	6	INDONESIA:  NW. IRIAN JAYA	-1.000	136.000		6.0		
1915	11	18	PHILIPPINES:  W. LUZON ISLAND	18.000	119.500		6.4	8	
1915	12	3	CHINA:  TIBET (XIZANG PROVINCE)	29.500	91.500		7.0	9	170
1915	12	29	EL SALVADOR:  AHUACHAPAN,ATACO,APANECA	14.560	-88.760		6.6		
1916	1	1	PAPUA NEW GUINEA:  SOLOMON ISLANDS	-4.739	152.548	35	7.9		
1916	1	13	INDONESIA:  NEW GUINEA:  IRIAN JAYA	-3.000	136.000	30	8.1		
1916	1	13	INDONESIA:  NEW GUINEA:  IRIAN JAYA	-3.000	135.500	16	8.1		
1916	1	24	TURKEY	41.000	37.000	33	7.8		
1916	2	1	JAPAN:  DUDA	29.500	131.500	33	8.0		
1916	2	6	ALASKA:  ALEUTIAN ISLANDS	48.500	178.500	60	7.7		
1916	2	27	NICARAGUA:  OFF COAST	11.000	-86.000	60	7.5		
1916	4	18	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	53.300	-170.000	170	7.5		
1916	4	21	JAPAN:  OFF EAST COAST HONSHU	33.000	141.000	60	7.8		
1916	4	24	DOMINICAN REPUBLIC:  SANTO DOMINIGO	18.500	-68.000	80	7.2	9	
1916	4	26	PANAMA:  ALMIRANTE, BOCAS DEL TORO	9.600	-82.000	25	7.0	9	
1916	6	21	ARGENTINA	-28.500	-63.000	600	7.5		
1916	7	3	ITALY:  STROMBOLI ISLAND	38.817	15.233		5.1	7	
1916	8	3	PAPUA NEW GUINEA:  N COAST	-4.000	144.500	60	7.5		
1916	8	25	BOLIVIA-NORTHERN CHILE	-21.000	-68.000	180	7.5		
1916	8	28	NEPAL; TIBET (XIZANG PROVINCE)	30.000	81.000	33	7.7		
